Model,Scenario,Carbon Capture|Geological Storage,Climate Assessment|Exceedance Probability 1.5°C [MAGICCv7.5.3],Emissions|CO2,Final Energy|Electricity,Primary Energy|Biomass,Primary Energy|Fossil,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear
GCAM 5.3,Deep-Mitigation-MAC_35_n0,21586.60098,52.83333333,-0.366485651,394.5739737,186.5961024,435.5591947,223.7526574,109.4680692
GCAM 5.3,Deep-Mitigation-MAC_35_n8,20858.81799,15.5,-8000.004525,407.4622388,228.7648225,311.2570042,243.3528449,125.950674
GCAM 5.3,Deep-Mitigation-MAC_40_n0,21577.42427,59.16666667,-0.375044705,394.7624102,186.6969425,435.75668,225.1325312,108.2403274
GCAM 5.3,Deep-Mitigation-MAC_40_n8,20667.77795,22.0,-8000.010867,406.5111058,229.3126767,308.3060976,244.5033609,125.8030957
GCAM 5.3,Deep-Mitigation-MAC_45_n0,21504.9837,62.83333333,-0.362037975,394.7459207,187.2638872,433.6599824,222.1307017,113.1318601
GCAM 5.3,Deep-Mitigation-MAC_45_n8,20251.77561,27.16666667,-8000.011289,405.6922028,229.9238483,301.2805958,239.8920052,133.7006089
GCAM 5.3,Deep-Mitigation-MAC_50_n0,21582.11791,67.83333333,-0.367781374,394.75216,187.840375,432.8541671,220.2637851,115.8309697
GCAM 5.3,Deep-Mitigation-MAC_50_n8,20137.28374,34.83333333,-8000.014396,405.2054061,230.5446077,298.3772173,238.111426,136.6229817
GCAM 5.3,Deep-Mitigation-MAC_55_n0,21704.63,72.5,-0.370766991,394.8712197,188.2548688,432.8284651,218.8730404,117.3495687
GCAM 5.3,Deep-Mitigation-MAC_55_n8,20166.58739,43.0,-8000.029449,404.8313109,231.1928559,297.353286,236.7662669,137.971054
GCAM 5.3,Deep-Mitigation-MAC_60_n0,22011.25071,76.5,-0.366374179,395.0898598,188.6579613,436.7939686,216.3848724,117.4272994
GCAM 5.3,Deep-Mitigation-MAC_60_n8,20322.38362,49.83333333,-8000.029541,404.5626837,231.938943,299.3218765,235.2846725,137.6369911
GCAM 5.3,Deep-Mitigation-MAC_65_n0,22321.56647,80.83333333,-0.366292444,395.233651,188.8707132,441.113536,214.1702021,117.116826
GCAM 5.3,Deep-Mitigation-MAC_65_n8,20589.84401,56.5,-8000.029155,404.461243,232.5948812,302.8783836,233.9734696,136.3609359
GCAM 5.3,Deep-Mitigation-MAC_70_n0,22604.29267,84.16666667,-0.364494933,395.4340943,188.9529296,445.1505811,212.4535886,116.6935251
GCAM 5.3,Deep-Mitigation-MAC_70_n8,21011.86784,62.5,-8000.215516,404.6453072,233.0287952,308.1696688,232.2384055,134.8354315
GCAM 5.3,Deep-Mitigation-MAC_75_n0,22686.24186,88.0,-0.37371855,395.1655848,189.0113738,446.0149969,213.6889005,115.0318584
GCAM 5.3,Deep-Mitigation-MAC_75_n8,21154.27515,68.16666667,-8000.021939,404.6065719,233.0317963,310.2179581,233.8129363,131.9913553
GCAM 5.3,Deep-Mitigation-MAC_80_n0,22746.06306,89.5,-0.373502911,394.8485353,189.0222014,446.5517004,214.8459041,113.5129204
GCAM 5.3,Deep-Mitigation-MAC_80_n8,21219.70777,74.66666667,-8000.010822,404.4461824,232.7951679,311.6305213,235.392278,129.4819539
GCAM 5.3,Deep-Mitigation-MAC_85_n0,22852.68454,91.0,-0.368495077,394.5648498,189.0116706,447.9070765,215.4104831,111.9857713
GCAM 5.3,Deep-Mitigation-MAC_85_n8,21275.83519,80.0,-8000.004108,404.1093301,232.6448271,313.776764,236.2645309,127.1618535
GCAM 5.3,Deep-Mitigation-MAC_90_n0,22995.60816,93.33333333,-0.369775185,394.2843444,188.9957679,449.9639819,215.4900557,110.3607779
GCAM 5.3,Deep-Mitigation-MAC_90_n8,21496.7465,84.5,-8000.008909,403.6607156,232.7860972,318.5257753,235.9199561,124.6201934
GCAM 5.3,Deep-Mitigation-MAC_95_n0,23129.25455,95.0,-0.367244364,393.9365713,189.1164877,452.1956527,215.3877102,108.7065292
